Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Michael Jordan,1985,2003,1072,38.3,30.1,6.2,5.3,2.3,0.8,.497,.327,.835,214.0,.250,jordami01
2,Wilt Chamberlain,1960,1973,1045,45.8,30.1,22.9,4.4,,,.540,,.511,247.3,.248,chambwi01
3,Bill Russell,1957,1969,963,42.3,15.1,22.5,4.3,,,.440,,.561,163.5,.193,russebi01
4,Shaquille O'Neal,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.045,.527,181.7,.208,onealsh01
5,Oscar Robertson,1961,1974,1040,42.2,25.7,7.5,9.5,1.1,0.1,.485,,.838,189.2,.207,roberos01
6,Magic Johnson,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,.520,.303,.848,155.8,.225,johnsma02
7,Kareem Abdul-Jabbar,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,.559,.056,.721,273.4,.228,abdulka01
8,Tim Duncan,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.179,.696,206.4,.209,duncati01
9,Larry Bird,1980,1992,897,38.4,24.3,10.0,6.3,1.7,0.8,.496,.376,.886,145.8,.203,birdla01
10,Kobe Bryant,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.329,.837,172.7,.170,bryanko01
11,Jerry West,1961,1974,932,39.2,27.0,5.8,6.7,2.6,0.7,.474,,.814,162.6,.213,westje01
12,Elgin Baylor,1959,1972,846,40.0,27.4,13.5,4.3,,,.431,,.780,104.2,.148,bayloel01
13,Hakeem Olajuwon,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,.512,.202,.712,162.8,.177,olajuha01
14,Bob Pettit,1955,1965,792,38.8,26.4,16.2,3.0,,,.436,,.761,136.0,.213,pettibo01
15,Moses Malone,1977,1995,1329,33.9,20.6,12.2,1.4,0.8,1.3,.491,.100,.769,167.1,.178,malonmo01
16,Julius Erving,1977,1987,836,34.3,22.0,6.7,3.9,1.8,1.5,.507,.261,.777,106.2,.178,ervinju01
17,John Havlicek,1963,1978,1270,36.6,20.8,6.3,4.8,1.2,0.3,.439,,.815,131.7,.136,havlijo01
18,Karl Malone,1986,2004,1476,37.2,25.0,10.1,3.6,1.4,0.8,.516,.274,.742,234.6,.205,malonka01
19,Isiah Thomas,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,.452,.290,.759,80.7,.109,thomais01
20,Charles Barkley,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,.541,.266,.735,177.2,.216,barklch01
21,Rick Barry,1966,1980,794,36.3,23.2,6.5,5.1,2.0,0.5,.449,.330,.900,93.4,.156,barryri01
22,John Stockton,1985,2003,1504,31.8,13.1,2.7,10.5,2.2,0.2,.515,.384,.826,207.7,.209,stockjo01
23,Elvin Hayes,1969,1984,1303,38.4,21.0,12.5,1.8,1.0,2.0,.452,.147,.670,120.8,.116,hayesel01
24,Bob Cousy,1951,1970,924,35.3,18.4,5.2,7.5,,,.375,,.803,91.1,.139,cousybo01
25,David Robinson,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3.0,.518,.250,.736,178.7,.250,robinda01
26,Kevin McHale,1981,1993,971,31.0,17.9,7.3,1.7,0.4,1.7,.554,.261,.798,113.0,.180,mchalke01
27,Scottie Pippen,1988,2004,1178,34.9,16.1,6.4,5.2,2.0,0.8,.473,.326,.704,125.1,.146,pippesc01
28,Jason Kidd,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.349,.785,138.6,.133,kiddja01
29,George Mikan,1949,1956,439,34.4,23.1,13.4,2.8,,,.404,,.782,108.7,.249,mikange01
30,Kevin Garnett,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.275,.789,191.4,.182,garneke01
31,LeBron James,2004,2023,1397,38.1,27.2,7.5,7.3,1.6,0.8,.505,.344,.735,252.7,.228,jamesle01
32,Willis Reed,1965,1974,650,35.5,18.7,12.9,1.8,0.6,1.1,.476,,.747,74.9,.156,reedwi01
33,Wes Unseld,1969,1981,984,36.4,10.8,14.0,3.9,1.1,0.6,.509,.500,.633,110.1,.147,unselwe01
34,Nate Thurmond,1964,1977,964,37.2,15.0,15.0,2.7,0.5,2.1,.421,,.667,78.0,.104,thurmna01
35,Dolph Schayes,1950,1964,996,34.4,18.5,12.1,3.1,,,.380,,.849,142.4,.192,schaydo01
36,Walt Frazier,1968,1980,825,37.5,18.9,5.9,6.1,1.9,0.2,.490,.000,.786,113.5,.176,fraziwa01
37,Patrick Ewing,1986,2002,1183,34.3,21.0,9.8,1.9,1.0,2.4,.504,.152,.740,126.4,.150,ewingpa01
38,Jerry Lucas,1964,1974,829,38.8,17.0,15.6,3.3,0.4,0.3,.499,,.783,98.4,.147,lucasje01
39,Gary Payton,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,.466,.317,.729,145.5,.148,paytoga01
40,Allen Iverson,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.313,.780,99.0,.126,iversal01
41,Billy Cunningham,1966,1976,654,34.3,20.8,10.1,4.0,1.2,0.5,.446,,.720,63.2,.135,cunnibi01
42,Clyde Drexler,1984,1998,1086,34.6,20.4,6.1,5.6,2.0,0.7,.472,.318,.788,135.6,.173,drexlcl01
43,Dominique Wilkins,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,.461,.319,.811,117.5,.148,wilkido01
44,Dave Cowens,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,.460,.071,.783,86.3,.140,cowenda01
45,George Gervin,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,.511,.297,.844,88.1,.159,gervige01
46,Bob McAdoo,1973,1986,852,33.2,22.1,9.4,2.3,1.0,1.5,.503,.081,.754,89.1,.151,mcadobo01
47,Earl Monroe,1968,1980,926,32.0,18.8,3.0,3.9,1.0,0.3,.464,,.807,77.4,.125,monroea01
48,Dennis Rodman,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,.521,.231,.584,89.8,.150,rodmade01
49,Dwyane Wade,2004,2019,1054,33.9,22.0,4.7,5.4,1.5,0.8,.480,.293,.765,120.7,.162,wadedw01
50,Steve Nash,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.428,.904,129.7,.164,nashst01
51,Walt Bellamy,1962,1975,1043,37.3,20.1,13.7,2.4,0.7,0.6,.516,,.632,130.0,.160,bellawa01
52,Tiny Archibald,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,.467,.224,.810,83.4,.128,architi01
53,Dennis Johnson,1977,1990,1100,32.7,14.1,3.9,5.0,1.3,0.6,.445,.172,.797,82.6,.110,johnsde01
54,Reggie Miller,1988,2005,1389,34.3,18.2,3.0,3.0,1.1,0.2,.471,.395,.888,174.4,.176,millere01
55,Dirk Nowitzki,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,.471,.380,.879,206.3,.193,nowitdi01
56,Connie Hawkins,1970,1976,499,34.5,16.5,8.0,4.1,1.2,0.8,.467,,.785,47.5,.132,hawkico01
57,Dave Bing,1967,1978,901,36.4,20.3,3.8,6.0,1.3,0.2,.441,,.775,68.8,.101,bingda01
58,James Worthy,1983,1994,926,32.4,17.6,5.1,3.0,1.1,0.7,.521,.241,.769,81.2,.130,worthja01
59,Hal Greer,1959,1973,1122,35.5,19.2,5.0,4.0,,,.452,,.801,102.7,.124,greerha01
60,Pete Maravich,1971,1980,658,37.0,24.2,4.2,5.4,1.4,0.3,.441,.667,.820,46.7,.092,maravpe01
61,Jack Twyman,1956,1966,823,31.8,19.2,6.6,2.3,,,.450,,.778,75.0,.138,twymaja01
62,Bob Lanier,1971,1984,959,33.5,20.1,10.1,3.1,1.1,1.5,.514,.154,.767,117.1,.175,laniebo01
63,David Thompson,1977,1984,509,32.0,22.1,3.8,3.2,0.9,0.8,.504,.277,.778,50.8,.150,thompda01
64,Joe Fulks,1947,1954,489,23.4,16.4,5.3,1.2,,,.302,,.766,29.2,-0.045,fulksjo01
65,Sam Jones,1958,1969,871,27.9,17.7,4.9,2.5,,,.456,,.803,92.3,.182,jonessa01
66,Gus Johnson,1964,1973,581,34.7,17.1,12.7,2.7,,,.440,,.699,35.8,.085,johnsgu01
67,Robert Parish,1977,1997,1611,28.4,14.5,9.1,1.4,0.8,1.5,.537,.000,.721,147.0,.154,parisro01
68,Tom Heinsohn,1957,1965,654,29.4,18.6,8.8,2.0,,,.405,,.790,60.0,.150,heinsto01
69,Bernard King,1978,1993,874,33.7,22.5,5.8,3.3,1.0,0.3,.518,.172,.730,75.4,.123,kingbe01
70,Bill Sharman,1951,1961,711,32.0,17.8,3.9,3.0,,,.426,,.883,82.8,.178,sharmbi01
71,Paul Arizin,1951,1962,713,38.4,22.8,8.6,2.3,,,.421,,.810,108.8,.183,arizipa01
72,Lenny Wilkens,1961,1975,1077,35.3,16.5,4.7,6.7,1.3,0.2,.432,,.774,95.5,.120,wilkele01
73,Alonzo Mourning,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.247,.692,89.7,.166,mournal01
74,Bill Walton,1975,1987,468,28.3,13.3,10.5,3.4,0.8,2.2,.521,.000,.660,39.3,.142,waltobi01
75,Neil Johnston,1952,1959,516,35.5,19.4,11.3,2.5,,,.444,,.768,92.0,.241,johnsne01
76,Dave DeBusschere,1963,1974,875,35.7,16.1,11.0,2.9,0.9,0.5,.432,,.699,60.8,.093,debusda01
77,Paul Pierce,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.368,.806,150.0,.157,piercpa01
78,Joe Dumars,1986,1999,1018,34.5,16.1,2.2,4.5,0.9,0.1,.460,.382,.843,86.2,.118,dumarjo01
79,Ray Allen,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.400,.894,145.1,.150,allenra02
80,Chris Webber,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.299,.649,84.7,.132,webbech01
81,Ed Macauley,1950,1959,641,35.7,17.5,7.5,3.2,,,.436,,.761,100.4,.196,macaued01
82,Alex English,1977,1991,1193,31.9,21.5,5.5,3.6,0.9,0.7,.507,.217,.832,100.7,.127,englial01
83,Adrian Dantley,1977,1991,955,35.8,24.3,5.7,3.0,1.0,0.2,.540,.171,.818,134.2,.189,dantlad01
84,Artis Gilmore,1977,1988,909,32.7,17.1,10.1,2.0,0.5,1.9,.599,.077,.713,107.4,.174,gilmoar01
85,Cliff Hagan,1957,1966,745,29.2,18.0,6.9,3.0,,,.450,,.798,75.1,.166,hagancl01
86,Dwight Howard,2005,2022,1242,31.8,15.7,11.8,1.3,0.9,1.8,.587,.214,.567,141.7,.172,howardw01
87,Tim Hardaway,1990,2003,867,35.3,17.7,3.3,8.2,1.6,0.1,.431,.355,.782,85.0,.133,hardati01
88,Chris Mullin,1986,2001,986,32.6,18.2,4.1,3.5,1.6,0.6,.509,.384,.865,93.1,.139,mullich01
89,Mitch Richmond,1989,2002,976,35.2,21.0,3.9,3.5,1.2,0.3,.455,.388,.850,79.3,.111,richmmi01
90,Sidney Moncrief,1980,1991,767,30.2,15.6,4.7,3.6,1.2,0.3,.502,.284,.831,90.3,.187,moncrsi01
91,Bob Dandridge,1970,1982,839,35.2,18.5,6.8,3.4,1.3,0.6,.484,.167,.780,80.3,.131,dandrbo01
92,Bob Love,1967,1977,789,31.8,17.6,5.9,1.4,0.8,0.2,.429,,.805,50.4,.096,lovebo01
93,Jim Pollard,1949,1955,438,35.4,13.2,7.8,3.2,,,.360,,.750,34.9,.093,pollaji01
94,Spencer Haywood,1971,1983,760,33.7,19.2,9.3,1.8,0.6,1.1,.465,.125,.800,61.4,.115,haywosp01
95,Dikembe Mutombo,1992,2009,1196,30.8,9.8,10.3,1.0,0.4,2.8,.518,.000,.684,117.0,.153,mutomdi01
96,Pau Gasol,2002,2019,1226,33.4,17.0,9.2,3.2,0.5,1.6,.507,.368,.753,144.1,.169,gasolpa01
97,Tracy McGrady,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,.435,.338,.746,97.3,.152,mcgratr01
98,Grant Hill,1995,2013,1026,33.9,16.7,6.0,4.1,1.2,0.6,.483,.314,.769,99.9,.138,hillgr01
99,Vince Carter,1999,2020,1541,30.1,16.7,4.3,3.1,1.0,0.6,.435,.371,.798,125.3,.130,cartevi01
100,Buck Williams,1982,1998,1307,32.5,12.8,10.0,1.3,0.8,0.8,.549,.167,.664,120.1,.136,willibu01
101,Slater Martin,1950,1960,745,35.9,9.8,3.4,4.2,,,.364,,.762,47.5,.087,martisl01
102,Kevin Johnson,1988,2000,735,34.1,17.9,3.3,9.1,1.5,0.2,.493,.305,.841,92.8,.178,johnske02
103,Brad Daugherty,1987,1994,548,36.5,19.0,9.5,3.7,0.8,0.7,.532,.143,.747,65.2,.156,daughbr01
104,Walter Davis,1978,1992,1033,27.9,18.9,3.0,3.8,1.2,0.1,.511,.272,.851,76.9,.128,daviswa03
105,Carmelo Anthony,2004,2022,1260,34.5,22.5,6.2,2.7,1.0,0.5,.447,.355,.814,108.5,.120,anthoca01
106,Dan Issel,1977,1985,718,31.1,20.4,7.9,2.5,1.0,0.6,.506,.253,.797,82.3,.177,isselda01
107,Chris Paul,2006,2023,1181,34.5,18.0,4.5,9.5,2.1,0.2,.472,.369,.870,201.5,.238,paulch01
108,George McGinnis,1976,1982,528,30.7,17.2,9.8,3.8,1.7,0.4,.448,.080,.651,36.2,.107,mcginge01
109,Jamaal Wilkes,1975,1986,828,32.9,17.7,6.2,2.5,1.3,0.3,.499,.135,.759,71.3,.125,wilkeja01
110,Chet Walker,1963,1975,1032,32.4,18.2,7.1,2.1,0.7,0.1,.470,,.796,117.4,.168,walkech01
111,George Yardley,1954,1960,472,33.4,19.2,8.9,1.7,,,.422,,.780,58.5,.178,yardlge01
112,Kevin Porter,1973,1983,659,29.0,11.6,1.8,8.1,1.4,0.1,.483,.188,.737,36.0,.090,porteke01
113,Richie Guerin,1957,1970,848,32.4,17.3,5.0,5.0,,,.416,,.780,69.2,.121,gueriri01
114,Norm Van Lier,1970,1979,746,35.1,11.8,4.8,7.0,1.8,0.2,.414,,.780,47.8,.088,vanlino01
115,Willie Naulls,1957,1966,716,28.8,15.8,9.1,1.6,,,.406,,.812,34.3,.080,naullwi01
116,Zelmo Beaty,1963,1975,570,32.2,16.0,10.4,1.5,0.7,0.4,.469,,.750,58.2,.152,beatyze01
117,Marques Johnson,1978,1990,691,34.3,20.1,7.0,3.6,1.3,0.8,.518,.152,.739,79.8,.162,johnsma01
118,Jo Jo White,1970,1981,837,35.8,17.2,4.0,4.9,1.3,0.2,.444,.167,.834,54.0,.087,whitejo01
119,Jack Sikma,1978,1991,1107,33.4,15.6,9.8,3.2,1.0,0.9,.464,.328,.849,112.5,.146,sikmaja01
120,Tom Chambers,1982,1998,1107,30.6,18.1,6.1,2.1,0.8,0.6,.468,.307,.807,79.0,.112,chambto01
121,Dick McGuire,1950,1960,738,28.3,8.0,4.2,5.7,,,.389,,.644,50.9,.115,mcguidi01
122,Maurice Cheeks,1979,1993,1101,31.6,11.1,2.8,6.7,2.1,0.3,.523,.255,.793,103.5,.143,cheekma01
123,Ben Wallace,1997,2012,1088,29.5,5.7,9.6,1.3,1.3,2.0,.474,.137,.414,93.5,.140,wallabe01
124,Chauncey Billups,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.387,.894,120.8,.176,billuch01
125,Bailey Howell,1960,1971,950,32.2,18.7,9.9,2.0,,,.480,,.762,114.8,.180,howelba01
126,Lou Hudson,1967,1979,890,33.5,20.2,4.4,2.7,1.4,0.3,.489,,.797,81.0,.131,hudsolo01
127,Rudy Tomjanovich,1971,1981,768,33.5,17.4,8.1,2.0,0.7,0.3,.501,.262,.784,70.4,.131,tomjaru01
128,Deron Williams,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.357,.822,77.3,.129,willide01
129,Guy Rodgers,1959,1970,892,32.1,11.7,4.3,7.8,,,.378,,.721,33.3,.056,rodgegu01
130,Anfernee Hardaway,1994,2008,704,33.7,15.2,4.5,5.0,1.6,0.4,.458,.316,.774,61.9,.125,hardaan01
131,Phil Chenier,1972,1981,578,33.1,17.2,3.6,3.0,1.6,0.6,.444,.400,.806,39.3,.099,cheniph01
132,Charlie Scott,1972,1980,560,34.4,17.9,3.6,4.8,1.3,0.3,.444,.182,.772,26.9,.067,scottch01
133,Bob Davies,1949,1955,462,31.3,14.3,2.9,4.9,,,.378,,.759,49.7,.148,daviebo01
134,Harry Gallatin,1949,1958,682,31.9,13.0,11.9,1.8,,,.398,,.773,78.4,.182,gallaha01
135,Maurice Lucas,1977,1988,855,29.0,14.4,8.8,2.3,0.7,0.6,.473,.111,.763,58.7,.114,lucasma01
136,Larry Foust,1951,1962,817,29.2,13.7,9.8,1.7,,,.405,,.741,79.2,.164,foustla01
137,Michael Cooper,1979,1990,873,27.1,8.9,3.2,4.2,1.2,0.6,.469,.340,.833,52.5,.107,coopemi01
138,Paul Silas,1965,1980,1254,27.9,9.4,9.9,2.1,0.6,0.2,.432,,.673,79.9,.110,silaspa01
139,Tony Parker,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,.491,.324,.751,111.3,.140,parketo01
140,Metta World Peace,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,.414,.339,.715,61.1,.093,artesro01
141,Paul Westphal,1973,1984,823,25.5,15.6,1.9,4.4,1.3,0.3,.504,.275,.820,67.7,.155,westppa01
142,Phil Smith,1975,1983,659,29.1,15.1,3.0,3.9,1.1,0.3,.476,.253,.779,41.1,.103,smithph01
143,Manu Ginóbili,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,.447,.369,.827,106.4,.190,ginobma01
144,Amar'e Stoudemire,2003,2016,846,31.0,18.9,7.8,1.2,0.8,1.2,.537,.236,.761,92.5,.169,stoudam01
145,Vern Mikkelsen,1950,1959,699,32.5,14.4,9.4,2.2,,,.403,,.766,83.4,.170,mikkeve01
146,Rudy LaRusso,1960,1969,736,33.3,15.6,9.4,2.1,,,.431,,.767,61.4,.120,larusru01
147,Red Kerr,1955,1966,905,30.7,13.8,11.2,2.2,,,.418,,.723,61.8,.107,kerrre01
148,Terry Cummings,1983,2000,1183,28.7,16.4,7.3,1.9,1.1,0.5,.484,.295,.706,91.1,.129,cummite01
149,Gus Williams,1976,1987,825,31.1,17.1,2.7,5.6,2.0,0.4,.461,.238,.756,67.9,.127,willigu01
150,Shawn Kemp,1990,2003,1051,27.9,14.6,8.4,1.6,1.1,1.2,.488,.277,.741,89.5,.147,kempsh01
151,Horace Grant,1988,2004,1165,33.2,11.2,8.1,2.2,1.0,1.0,.509,.063,.692,118.2,.147,grantho01
152,Shawn Marion,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.331,.810,124.9,.150,mariosh01
153,Gene Shue,1955,1964,699,33.4,14.4,4.1,3.7,,,.396,,.806,38.9,.080,shuege01
154,Yao Ming,2003,2011,486,32.5,19.0,9.2,1.6,0.4,1.9,.524,.200,.833,65.9,.200,mingya01
155,Mark Price,1987,1998,722,29.9,15.2,2.6,6.7,1.2,0.1,.472,.402,.904,71.1,.158,pricema01
156,Rasheed Wallace,1996,2013,1109,32.7,14.4,6.7,1.8,1.0,1.3,.467,.336,.721,105.1,.139,wallara01
157,Calvin Murphy,1971,1983,1002,30.5,17.9,2.1,4.4,1.5,0.1,.482,.139,.892,84.1,.132,murphca01
158,Bobby Wanzer,1949,1957,568,32.5,12.2,4.5,3.2,,,.393,,.802,63.9,.156,wanzebo01
159,Bobby Jones,1977,1986,774,26.1,11.5,5.5,2.4,1.4,1.3,.550,.000,.780,73.7,.175,jonesbo01
160,Mark Jackson,1988,2004,1296,30.2,9.6,3.8,8.0,1.2,0.1,.447,.332,.770,91.8,.113,jacksma01
161,Otis Birdsong,1978,1989,696,31.1,18.0,3.0,3.2,1.2,0.2,.506,.274,.655,48.2,.107,birdsot01
162,Johnny Green,1960,1973,1057,23.3,11.6,8.6,1.4,,,.493,,.553,58.0,.113,greenjo01
163,John Drew,1975,1985,739,29.5,20.7,6.9,1.7,1.4,0.3,.470,.175,.748,68.9,.152,drewjo01
164,Tom Gola,1956,1966,698,32.3,11.3,8.0,4.2,,,.431,,.760,53.2,.113,golato01
165,Larry Nance,1982,1994,920,33.4,17.1,8.0,2.6,0.9,2.2,.546,.145,.755,109.6,.171,nancela01
166,Randy Smith,1972,1983,976,32.2,16.7,3.7,4.6,1.7,0.1,.470,.155,.781,60.1,.092,smithra01
167,Terry Porter,1986,2002,1274,27.8,12.2,3.0,5.6,1.2,0.1,.463,.386,.836,110.4,.150,portete01
